date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:42:21	61508/61508	---M--	200	added ('OK')	image/png	etag:%225919c29f-f044%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/expert.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/expert.png	(from http://kr1.bust-cream.me/)
11:42:21	44856/44856	---M--	200	added ('OK')	image/png	etag:%225919c29f-af38%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s12_bust.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s12_bust.png	(from http://kr1.bust-cream.me/)
11:42:23	3378/3378	---M--	200	added ('OK')	image/png	etag:%225919c29f-d32%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s7_olive2.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s7_olive2.png	(from http://kr1.bust-cream.me/)
11:42:24	37905/37905	---M--	200	added ('OK')	image/png	etag:%22591a65c3-9411%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s13_girl.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s13_girl.png	(from http://kr1.bust-cream.me/)
11:42:25	25514/25514	---M--	200	added ('OK')	image/png	etag:%225919c29f-63aa%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s15_bag.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s15_bag.png	(from http://kr1.bust-cream.me/)
11:42:26	16072/16072	---M--	200	added ('OK')	image/png	etag:%225919c29f-3ec8%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s15_thumbsup.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s15_thumbsup.png	(from http://kr1.bust-cream.me/)
11:42:28	12867/12867	---M--	200	added ('OK')	image/png	etag:%225919c29f-3243%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/magazine_girl_lt.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/magazine_girl_lt.png	(from http://kr1.bust-cream.me/)
11:42:31	50484/50484	---M--	200	added ('OK')	image/png	etag:%22591a65c7-c534%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s15_girl.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s15_girl.png	(from http://kr1.bust-cream.me/)
11:42:32	36477/36477	---M--	200	added ('OK')	image/png	etag:%225919c29f-8e7d%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/magazine_product.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/magazine_product.png	(from http://kr1.bust-cream.me/)
11:42:32	79513/79513	---M--	200	added ('OK')	image/png	etag:%22591a65c6-13699%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s13_footer_girl.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s13_footer_girl.png	(from http://kr1.bust-cream.me/)
11:42:33	7671/7671	---M--	200	added ('OK')	image/png	etag:%225919c29f-1df7%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/rev1.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/rev1.png	(from http://kr1.bust-cream.me/)
11:42:34	8684/8684	---M--	200	added ('OK')	image/png	etag:%225919c29f-21ec%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/rev2.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/rev2.png	(from http://kr1.bust-cream.me/)
